patent_id,title,abstract,filing_date,year
10000000,System and method for wearable biosensor,"This invention discloses system and method for wearable biosensor. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-06-16,2018
10000001,Composition for edge computing resource scheduling,"This invention discloses composition for edge computing resource scheduling. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2022-12-24,2022
10000002,System and method for low-latency video coding,"This invention discloses system and method for low-latency video coding. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-02-22,2018
10000003,Method for autonomous vehicle perception,"This invention discloses method for autonomous vehicle perception. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2019-08-11,2019
10000004,System and method for carbon capture using metal-organic frameworks,"This invention discloses system and method for carbon capture using metal-organic frameworks. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2021-10-19,2021
10000005,Composition for secure multi-party computation,"This invention discloses composition for secure multi-party computation. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2024-08-28,2024
10000006,System and method for drug delivery via nanoparticles,"This invention discloses system and method for drug delivery via nanoparticles. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-02-06,2023
10000007,Composition for drug delivery via nanoparticles,"This invention discloses composition for drug delivery via nanoparticles. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-05-02,2018
10000008,Composition for battery thermal management,"This invention discloses composition for battery thermal management. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2020-01-04,2020
10000009,Method for satellite collision avoidance,"This invention discloses method for satellite collision avoidance. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-07-10,2023
10000010,Process for lidar point-cloud filtering,"This invention discloses process for lidar point-cloud filtering. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2024-01-24,2024
10000011,Method for gene editing with CRISPR variants,"This invention discloses method for gene editing with crispr variants. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-01-18,2023
10000012,System and method for low-latency video coding,"This invention discloses system and method for low-latency video coding. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-07-07,2023
10000013,Method for secure multi-party computation,"This invention discloses method for secure multi-party computation. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-07-03,2023
10000014,System and method for speech-to-text noise robustness,"This invention discloses system and method for speech-to-text noise robustness. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2024-08-17,2024
10000015,Process for neural network compression,"This invention discloses process for neural network compression. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2019-06-10,2019
10000016,Composition for lidar point-cloud filtering,"This invention discloses composition for lidar point-cloud filtering. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2022-04-08,2022
10000017,Apparatus for quantum error correction,"This invention discloses apparatus for quantum error correction. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2020-08-19,2020
10000018,Method for lidar point-cloud filtering,"This invention discloses method for lidar point-cloud filtering. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2019-11-27,2019
10000019,Device for OLED display fabrication,"This invention discloses device for oled display fabrication. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-03-25,2018
10000020,Process for autonomous vehicle perception,"This invention discloses process for autonomous vehicle perception. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-06-24,2023
10000021,Composition for lidar point-cloud filtering,"This invention discloses composition for lidar point-cloud filtering. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2019-11-14,2019
10000022,Method for wearable biosensor,"This invention discloses method for wearable biosensor. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2020-05-26,2020
10000023,Process for wireless power transfer,"This invention discloses process for wireless power transfer. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2024-06-26,2024
10000024,Device for carbon capture using metal-organic frameworks,"This invention discloses device for carbon capture using metal-organic frameworks. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2021-11-23,2021
10000025,Device for wearable biosensor,"This invention discloses device for wearable biosensor. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2021-07-07,2021
10000026,Process for low-latency video coding,"This invention discloses process for low-latency video coding. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-03-18,2018
10000027,Device for OLED display fabrication,"This invention discloses device for oled display fabrication. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-12-23,2023
10000028,Apparatus for 5G beamforming optimization,"This invention discloses apparatus for 5g beamforming optimization. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-03-10,2023
10000029,Device for solid-state battery electrolyte,"This invention discloses device for solid-state battery electrolyte. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2021-07-29,2021
10000030,System and method for edge computing resource scheduling,"This invention discloses system and method for edge computing resource scheduling. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2019-10-20,2019
10000031,Method for quantum error correction,"This invention discloses method for quantum error correction. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2021-06-25,2021
10000032,System and method for drug delivery via nanoparticles,"This invention discloses system and method for drug delivery via nanoparticles. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-04-30,2018
10000033,Composition for speech-to-text noise robustness,"This invention discloses composition for speech-to-text noise robustness. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-03-23,2018
10000034,Device for 5G beamforming optimization,"This invention discloses device for 5g beamforming optimization. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2019-01-05,2019
10000035,Method for satellite collision avoidance,"This invention discloses method for satellite collision avoidance. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2024-07-05,2024
10000036,System and method for lidar point-cloud filtering,"This invention discloses system and method for lidar point-cloud filtering. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2024-07-21,2024
10000037,Method for low-latency video coding,"This invention discloses method for low-latency video coding. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2020-05-26,2020
10000038,Process for 5G beamforming optimization,"This invention discloses process for 5g beamforming optimization. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2019-04-08,2019
10000039,System and method for speech-to-text noise robustness,"This invention discloses system and method for speech-to-text noise robustness. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2022-02-15,2022
10000040,Composition for neural network compression,"This invention discloses composition for neural network compression. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2020-09-08,2020
10000041,Method for wearable biosensor,"This invention discloses method for wearable biosensor. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2020-08-26,2020
10000042,System and method for wireless power transfer,"This invention discloses system and method for wireless power transfer. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2020-08-22,2020
10000043,Composition for lidar point-cloud filtering,"This invention discloses composition for lidar point-cloud filtering. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2022-07-23,2022
10000044,Device for solid-state battery electrolyte,"This invention discloses device for solid-state battery electrolyte. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2021-09-24,2021
10000045,Process for wireless power transfer,"This invention discloses process for wireless power transfer. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2021-12-12,2021
10000046,Composition for low-latency video coding,"This invention discloses composition for low-latency video coding. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2022-12-22,2022
10000047,System and method for secure multi-party computation,"This invention discloses system and method for secure multi-party computation. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-12-03,2018
10000048,Composition for drug delivery via nanoparticles,"This invention discloses composition for drug delivery via nanoparticles. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2024-08-30,2024
10000049,Apparatus for OLED display fabrication,"This invention discloses apparatus for oled display fabrication. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2019-12-12,2019
10000050,System and method for low-latency video coding,"This invention discloses system and method for low-latency video coding. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2022-05-31,2022
10000051,Process for robotic grasp planning,"This invention discloses process for robotic grasp planning. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2020-07-25,2020
10000052,Composition for low-latency video coding,"This invention discloses composition for low-latency video coding. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-07-23,2018
10000053,Method for battery thermal management,"This invention discloses method for battery thermal management. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-11-24,2023
10000054,Apparatus for OLED display fabrication,"This invention discloses apparatus for oled display fabrication. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2021-03-25,2021
10000055,System and method for carbon capture using metal-organic frameworks,"This invention discloses system and method for carbon capture using metal-organic frameworks. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2022-09-10,2022
10000056,Device for quantum error correction,"This invention discloses device for quantum error correction. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2022-02-23,2022
