patent_id,title,year,inventor_name,inventor_country,company_name
10000005,Composition for secure multi-party computation,2024,Noor Park,US,Tesla Semiconductors
10000005,Composition for secure multi-party computation,2024,Noor Park,US,Sirius Innovations
10000005,Composition for secure multi-party computation,2024,Diego Okafor,CA,Tesla Semiconductors
10000005,Composition for secure multi-party computation,2024,Diego Okafor,CA,Sirius Innovations
10000005,Composition for secure multi-party computation,2024,Raj Miller,FR,Tesla Semiconductors
10000005,Composition for secure multi-party computation,2024,Raj Miller,FR,Sirius Innovations
10000005,Composition for secure multi-party computation,2024,Hiroshi Singh,IN,Tesla Semiconductors
10000005,Composition for secure multi-party computation,2024,Hiroshi Singh,IN,Sirius Innovations
10000010,Process for lidar point-cloud filtering,2024,Yuki Davis,JP,Aether Research
10000014,System and method for speech-to-text noise robustness,2024,Diego Smith,CN,
10000014,System and method for speech-to-text noise robustness,2024,Priya Oduya,KR,
10000014,System and method for speech-to-text noise robustness,2024,Anna Singh,KR,
10000023,Process for wireless power transfer,2024,Emma Dubois,CN,Meridian Photonics
10000023,Process for wireless power transfer,2024,Jin Miller,CN,Meridian Photonics
10000023,Process for wireless power transfer,2024,Daniel Garcia,US,Meridian Photonics
10000035,Method for satellite collision avoidance,2024,Jin Miller,KR,Phoenix Holdings
10000035,Method for satellite collision avoidance,2024,Hiroshi Brown,JP,Phoenix Holdings
10000035,Method for satellite collision avoidance,2024,Priya Lopez,CN,Phoenix Holdings
10000036,System and method for lidar point-cloud filtering,2024,Omar Miller,JP,Axiom Holdings
10000036,System and method for lidar point-cloud filtering,2024,Omar Miller,JP,Argon Technologies
